term_str,n,n_chars,p,s,i,h
new,870,3,0.000806739520499993,1239.557471264368,10.275609447241182,0.00828974023831255
these,870,5,0.000806739520499993,1239.557471264368,10.275609447241182,0.00828974023831255
those,865,5,0.000802103086474131,1246.7225433526012,10.283924715453185,0.0082487677553326
last,864,4,0.0008011757996689587,1248.1655092592591,10.285593535813803,0.008240568626125495
doesnt,856,6,0.0007937575052275794,1259.8306074766356,10.299014051576126,0.00817491969988285
give,847,4,0.0007854119239810277,1273.2172373081464,10.314262878645074,0.00810094505196272
again,847,5,0.0007854119239810277,1273.2172373081464,10.314262878645074,0.00810094505196272
place,845,5,0.0007835573503706829,1276.2307692307693,10.317673506807726,0.008084488914984055
does,837,4,0.0007761390559293036,1288.4289127837515,10.331397225426928,0.008018600888973482
talking,828,7,0.000767793474682752,1302.433574879227,10.346994080477947,0.00794435453757203
before,828,6,0.000767793474682752,1302.433574879227,10.346994080477947,0.00794435453757203
told,827,4,0.0007668661878775796,1304.0084643288994,10.348737518805997,0.007936096890392437
ok,826,2,0.0007659389010724072,1305.587167070218,10.350483066557826,0.007927837625567861
room,817,4,0.0007575933198258556,1319.969400244798,10.366288769831588,0.007853431123410196
house,802,5,0.0007436840177482694,1344.6571072319202,10.393022611522351,0.0077291248122855535
paris,798,5,0.0007399748705275798,1351.3972431077693,10.400236101754926,0.007695913362852363
getting,794,7,0.0007362657233068902,1358.205289672544,10.407485840834314,0.007662675090408095
kind,793,4,0.0007353384365017178,1359.9180327868853,10.409303982273293,0.007654361315395948
mother,768,6,0.0007121562663724077,1404.1861979166667,10.455518537256117,0.007445963044479813
dad,765,3,0.0007093744059568904,1409.6928104575163,10.461165100397258,0.007420882778711259
guy,764,3,0.0007084471191517181,1411.537958115183,10.463052209941523,0.0074125191956670895
everything,764,10,0.0007084471191517181,1411.537958115183,10.463052209941523,0.0074125191956670895
coming,764,6,0.0007084471191517181,1411.537958115183,10.463052209941523,0.0074125191956670895
hello,759,5,0.000703810685125856,1420.836627140975,10.472524962561806,0.007370674968898255
only,756,4,0.0007010288247103388,1426.4748677248676,10.478238613756199,0.007345547300435997
life,750,4,0.0006954651038793044,1437.8866666666665,10.48973425259403,0.0072952441216466045
youve,747,5,0.0006926832434637871,1443.661311914324,10.495516605188035,0.007270068483909684
wait,745,4,0.0006908286698534423,1447.5369127516778,10.499384422627749,0.00725327577496388
bye,744,3,0.0006899013830482699,1449.4825268817206,10.501322226869242,0.0072448767281526275
school,734,6,0.0006806285149965458,1469.2302452316078,10.52084478513406,0.0071607869626149475
wow,730,3,0.0006769193677758562,1477.2808219178082,10.528728384209893,0.007127100161323073
stop,730,4,0.0006769193677758562,1477.2808219178082,10.528728384209893,0.007127100161323073
actually,730,8,0.0006769193677758562,1477.2808219178082,10.528728384209893,0.007127100161323073
coffee,724,6,0.0006713556469448218,1489.5234806629833,10.540635150894067,0.007076514930937816
which,723,5,0.0006704283601396494,1491.5836791147995,10.542629201026154,0.007068077606804346
id,721,2,0.0006685737865293046,1495.7212205270457,10.54662558873645,0.007051197404968385
wanted,695,6,0.000644464329594822,1551.6762589928057,10.599611870366402,0.006831071758001001
always,694,6,0.0006435370427896497,1553.9121037463976,10.601689185399012,0.00682257970694669
dinner,693,6,0.0006426097559844772,1556.1544011544013,10.603769495840059,0.006814085728237423
being,687,5,0.0006370460351534428,1569.745269286754,10.616314749159171,0.006763081218892867
feel,685,4,0.000635191461543098,1574.3284671532845,10.620520860129384,0.006746064167494544
guess,683,5,0.0006333368879327531,1578.93850658858,10.624739269687181,0.006729039304160592
than,682,4,0.0006324096011275808,1581.2536656891496,10.6268531089531,0.006720523935874421
bad,681,3,0.0006314823143224083,1583.575624082232,10.6289700499652,0.006712006606015589
lot,679,3,0.0006296277407120635,1588.2400589101621,10.63321327373254,0.006694966050049744
tonight,678,7,0.0006287004539068912,1590.5825958702064,10.635339574840929,0.006686442818156415
help,677,4,0.0006277731671017187,1592.9320531757755,10.637469014402276,0.006677917613117716
cause,675,5,0.0006259185934913739,1597.651851851852,10.64173734603908,0.006660861271937407
long,674,4,0.0006249913066862015,1600.0222551928784,10.643876256795414,0.006652330129940801
believe,668,7,0.0006194275858551671,1614.3937125748503,10.65677674550322,0.006601101492464545
made,667,4,0.0006185002990499946,1616.8140929535234,10.658938086792688,0.006592556394236655
done,661,4,0.0006129365782189602,1631.4901664145234,10.67197457646958,0.006541243579741002
find,659,4,0.0006110820046086155,1636.44157814871,10.67634638296922,0.006524123149600772
after,653,5,0.000605518283777581,1651.4777947932619,10.689541856430841,0.00647271303927462
stuff,649,5,0.0006018091365568914,1661.6563944530046,10.698406369978134,0.0064383987000512875
next,646,4,0.0005990272761413741,1669.37306501548,10.705090683283347,0.006412641312853624
better,646,6,0.0005990272761413741,1669.37306501548,10.705090683283347,0.006412641312853624
every,645,5,0.0005980999893362018,1671.9612403100775,10.707325687666655,0.006404051379612666
pretty,645,6,0.0005980999893362018,1671.9612403100775,10.707325687666655,0.006404051379612666
three,644,5,0.0005971727025310293,1674.5574534161492,10.709564159862655,0.006395459372274634
whole,641,5,0.0005943908421155121,1682.3946957878316,10.716300491358531,0.006369670873421473
their,639,5,0.0005925362685051673,1687.6604068857591,10.720808917030277,0.006352468111054044
ah,638,2,0.0005916089816999949,1690.3056426332287,10.723068424212403,0.006343863591147669
away,638,4,0.0005916089816999949,1690.3056426332287,10.723068424212403,0.006343863591147669
dean,620,4,0.0005749178192068915,1739.3790322580646,10.764356632703034,0.0061886204404388665
ever,614,4,0.0005693540983758572,1756.3762214983713,10.778386192607092,0.006136718352638599
years,605,5,0.0005610085171293055,1782.504132231405,10.799689705815315,0.0060587179073160755
keep,601,4,0.0005572993699086159,1794.36772046589,10.809259857266087,0.0060239937076328855
wasnt,599,5,0.0005554447962982711,1800.3589315525874,10.814068845188487,0.0060066182668712
sookie,593,6,0.0005498810754672366,1818.575042158516,10.828592743431269,0.0059544382235547
town,591,4,0.0005480265018568918,1824.7292724196277,10.83346671779974,0.005937026868338855
isnt,589,4,0.000546171928246547,1830.925297113752,10.83835721414681,0.005919606458675437
tomorrow,589,8,0.000546171928246547,1830.925297113752,10.83835721414681,0.005919606458675437
went,585,4,0.0005424627810258574,1843.4444444444443,10.848188223506504,0.005884738352815294
wont,582,4,0.0005396809206103402,1852.9467353951889,10.855605695068988,0.005858563275297684
course,576,6,0.0005341171997793057,1872.2482638888891,10.87055603653496,0.005806150950278081
kirk,565,4,0.0005239170449224093,1908.699115044248,10.898373980674723,0.005709843890414375
remember,563,8,0.0005220624713120645,1915.4795737122558,10.903489925897043,0.0056923028966400085
else,559,4,0.0005183533240913749,1929.1860465116279,10.913776565134082,0.005657192360927799
wanna,554,5,0.0005137168900655128,1946.5974729241877,10.926738871928084,0.005613250311844845
eat,553,3,0.0005127896032603404,1950.117540687161,10.929345367742565,0.005604454675019949
party,540,5,0.0005007348747930991,1997.0648148148148,10.963665440926441,0.00548988964183573
might,539,5,0.0004998075879879267,2000.769944341373,10.966339575224767,0.005481059732149635
through,536,7,0.0004970257275724096,2011.9682835820893,10.974391847519499,0.0054545550926780985
today,535,5,0.0004960984407672371,2015.728971962617,10.977085956688763,0.005445715227281231
together,528,8,0.0004896074331310303,2042.4526515151515,10.996086918618818,0.005383765890710659
hear,525,4,0.00048682557271551306,2054.1238095238095,11.004307425423788,0.005357178264719508
fun,524,3,0.00048589828591034067,2058.043893129771,11.007058036439823,0.00534831063282175
youll,523,5,0.0004849709991051682,2061.97896749522,11.00981390173033,0.005339440447884129
old,522,3,0.0004840437122999958,2065.9291187739464,11.012575041407388,0.005330567705025112
emily,521,5,0.0004831164254948234,2069.89443378119,11.015341475698763,0.00532169239934446
came,516,4,0.00047847999146896137,2089.951550387597,11.029253782554019,0.0052772772557854565
car,516,3,0.00047847999146896137,2089.951550387597,11.029253782554019,0.0052772772557854565
wrong,513,5,0.0004756981310534442,2102.1734892787526,11.037666022370217,0.005250597098033616
having,513,6,0.0004756981310534442,2102.1734892787526,11.037666022370217,0.005250597098033616
happy,512,5,0.0004747708442482718,2106.279296875,11.040481037977273,0.005241698503307505
richard,509,7,0.00047198898383275453,2118.693516699411,11.048959191901577,0.005214987021395198
leave,507,5,0.00047013441022240973,2127.051282051282,11.054639100973931,0.005197166233957969
year,504,4,0.00046735254980689254,2139.7123015873017,11.063201114477355,0.005170415249877447
girl,503,4,0.00046642526300172014,2143.9662027833,11.066066448171744,0.005161492953483017
looking,497,7,0.0004608615421706857,2169.8490945674043,11.083378996414986,0.005107903136749997
already,496,7,0.0004599342553655133,2174.2237903225805,11.086284727590398,0.005098962110954352
trying,496,6,0.0004599342553655133,2174.2237903225805,11.086284727590398,0.005098962110954352
idea,491,4,0.00045529782133965125,2196.3645621181263,11.100901823662578,0.005054216415218933
morning,489,7,0.00045344324772930646,2205.3476482617584,11.106790383025038,0.005036299103127501
supposed,486,8,0.0004506613873137892,2218.9609053497943,11.11566853437149,0.00500940260262009
food,483,4,0.000447879526898272,2232.743271221532,11.124601659141499,0.004982481328028026
wouldnt,482,7,0.0004469522400930996,2237.375518672199,11.12759170174731,0.004973502037937346
someone,482,7,0.0004469522400930996,2237.375518672199,11.12759170174731,0.004973502037937346
sit,481,3,0.00044602495328792716,2242.027027027027,11.13058795420723,0.004964519972342445
left,480,4,0.00044509766648275477,2246.697916666667,11.133590442368753,0.0049555351254730335
ask,480,3,0.00044509766648275477,2246.697916666667,11.133590442368753,0.0049555351254730335
jess,480,4,0.00044509766648275477,2246.697916666667,11.133590442368753,0.0049555351254730335
havent,474,6,0.0004395339456517203,2275.137130801688,11.151737789079013,0.004901567311307291
gilmore,473,7,0.0004386066588465479,2279.9471458773787,11.154784664637877,0.00489256283190953
probably,471,8,0.00043675208523620313,2289.6284501061573,11.160897788364489,0.0048745453821763185
own,470,3,0.00043582479843103073,2294.5,11.163964091412273,0.0048655323998310195
enough,468,6,0.00043397022482068593,2304.3055555555557,11.170116318393868,0.0048474978899666
happened,467,8,0.00043304293801551353,2309.23982869379,11.17320229826761,0.004838476350283494
called,460,6,0.0004265519303793067,2344.3804347826085,11.194990987032897,0.004775245016097822
meet,459,4,0.00042562464357413424,2349.488017429194,11.198130694563464,0.004766200385570146
name,458,4,0.00042469735676896184,2354.617903930131,11.201277249880329,0.004757152840460482
same,456,4,0.00042284278315861705,2364.9451754385964,11.20759102381253,0.004739048981012424
best,456,4,0.00042284278315861705,2364.9451754385964,11.20759102381253,0.004739048981012424
later,456,5,0.00042284278315861705,2364.9451754385964,11.20759102381253,0.004739048981012424
cool,456,4,0.00042284278315861705,2364.9451754385964,11.20759102381253,0.004739048981012424
yet,453,3,0.00042006092274309985,2380.60706401766,11.217113797931036,0.004711871172473269
sounds,452,6,0.0004191336359379274,2385.8738938053098,11.220302075562085,0.00470280600525221
try,452,3,0.0004191336359379274,2385.8738938053098,11.220302075562085,0.00470280600525221
week,450,4,0.0004172790623275826,2396.4777777777776,11.226699846760235,0.0046846667850893265
saying,448,6,0.0004154244887172378,2407.176339285714,11.233126115919667,0.004666515673402179
hell,447,4,0.0004144972019120654,2412.5615212527964,11.236350016793955,0.004657435641665683
another,447,7,0.0004144972019120654,2412.5615212527964,11.236350016793955,0.004657435641665683
five,446,4,0.000413569915106893,2417.970852017937,11.239581138056968,0.004648352617103256
lane,446,4,0.000413569915106893,2417.970852017937,11.239581138056968,0.004648352617103256
thinking,445,8,0.00041264262830172056,2423.4044943820227,11.242819512123512,0.004639266593004514
excuse,440,6,0.00040800619427585857,2450.9431818181815,11.259121324452613,0.004593791242480075
crazy,440,5,0.00040800619427585857,2450.9431818181815,11.259121324452613,0.004593791242480075
since,437,5,0.0004052243338603413,2467.7688787185357,11.268991568476673,0.004566469601613763
must,435,4,0.0004033697602499965,2479.114942528736,11.275609447241182,0.004548239879406272
boy,432,3,0.00040058789983447933,2496.3310185185182,11.285593535813803,0.004520872212897227
business,430,8,0.0003987333262241345,2507.9418604651164,11.292288188387811,0.004502611630037377
logan,429,5,0.0003978060394189621,2513.787878787879,11.295647200477728,0.0044934766754959315
mind,425,4,0.0003940968921982725,2537.4470588235295,11.309162006952208,0.0044569056003066435
start,424,5,0.00039316960539310003,2543.4316037735853,11.312560583414074,0.004447754980566449
looks,422,5,0.00039131503178275524,2555.4857819905214,11.319381849270087,0.004429444268108267
care,416,4,0.0003857513109517208,2592.34375,11.34004131983618,0.004374435805373489
minutes,416,7,0.0003857513109517208,2592.34375,11.34004131983618,0.004374435805373489
taylor,415,6,0.0003848240241465484,2598.5903614457834,11.343513511742986,0.004365256517549681
phone,414,5,0.000383896737341376,2604.867149758454,11.346994080477947,0.004356074006127391
money,414,5,0.000383896737341376,2604.867149758454,11.346994080477947,0.004356074006127391
heard,414,5,0.000383896737341376,2604.867149758454,11.346994080477947,0.004356074006127391
ready,412,5,0.0003820421637310312,2617.51213592233,11.353980510794054,0.0043376992813037194
head,411,4,0.0003811148769258588,2623.8807785888075,11.35748645429559,0.004328507052215972
yale,411,4,0.0003811148769258588,2623.8807785888075,11.35748645429559,0.004328507052215972
weird,404,5,0.00037462386928965196,2669.3440594059402,11.382269555225477,0.004264069862076374
